K,Encoder_Time_s,Encoder_Power_W,Encoder_Energy_J,Decoder_Time_s,Decoder_Power_W,Decoder_Energy_J,Target_Time_s,Num_Images
5,3.9827,122.78,489.00,1.2230,15.01,18.36,4.0,10
10,3.9827,122.78,489.00,1.2737,15.00,19.11,4.0,10
15,3.9827,122.78,489.00,1.2830,14.99,19.23,4.0,10
20,3.9827,122.78,489.00,1.3179,15.00,19.77,4.0,10
25,3.9827,122.78,489.00,1.3758,15.00,20.64,4.0,10
30,3.9827,122.78,489.00,1.3454,14.98,20.16,4.0,10
40,3.9827,122.78,489.00,1.3624,15.00,20.43,4.0,10
50,3.9827,122.78,489.00,1.3655,15.01,20.49,4.0,10
100,3.9827,122.78,489.00,0.8228,29.86,24.57,4.0,10
200,3.9827,122.78,489.00,0.9493,71.77,68.13,4.0,10
300,3.9827,122.78,489.00,0.8615,98.14,84.54,4.0,10
