K,Encoder_Time_s,Encoder_Power_W,Encoder_Energy_J,Decoder_Time_s,Decoder_Power_W,Decoder_Energy_J,Target_Time_s,Num_Images
5,3.9004,123.26,480.75,1.2167,14.94,18.18,3.0,10
10,3.9004,123.26,480.75,1.2297,15.03,18.48,3.0,10
15,3.9004,123.26,480.75,1.2506,14.99,18.75,3.0,10
20,3.9004,123.26,480.75,1.2591,14.99,18.87,3.0,10
25,3.9004,123.26,480.75,1.3222,15.00,19.83,3.0,10
30,3.9004,123.26,480.75,1.3146,14.99,19.71,3.0,10
40,3.9004,123.26,480.75,1.3200,15.00,19.80,3.0,10
50,3.9004,123.26,480.75,1.3459,15.00,20.19,3.0,10
100,3.9004,123.26,480.75,0.5975,44.08,26.34,3.0,10
200,3.9004,123.26,480.75,0.8045,84.84,68.25,3.0,10
300,3.9004,123.26,480.75,0.7738,137.20,106.16,3.0,10
