K,Encoder_Time_s,Encoder_Power_W,Encoder_Energy_J,Decoder_Time_s,Decoder_Power_W,Decoder_Energy_J,Target_Time_s,Num_Images
5,3.8837,124.91,485.10,1.2167,15.02,18.27,5.0,10
10,3.8837,124.91,485.10,1.2319,15.02,18.51,5.0,10
15,3.8837,124.91,485.10,1.2434,14.96,18.60,5.0,10
20,3.8837,124.91,485.10,1.2555,15.01,18.84,5.0,10
25,3.8837,124.91,485.10,1.2708,15.01,19.08,5.0,10
30,3.8837,124.91,485.10,1.2857,14.98,19.26,5.0,10
40,3.8837,124.91,485.10,1.3271,15.01,19.92,5.0,10
50,3.8837,124.91,485.10,1.3514,15.01,20.28,5.0,10
100,3.8837,124.91,485.10,0.8201,29.96,24.57,5.0,10
200,3.8837,124.91,485.10,0.6437,59.10,38.04,5.0,10
300,3.8837,124.91,485.10,0.9809,84.74,83.13,5.0,10
