K,Encoder_Time_s,Encoder_Power_W,Encoder_Energy_J,Decoder_Time_s,Decoder_Power_W,Decoder_Energy_J,Target_Time_s,Num_Images
5,3.8008,123.64,469.95,1.2068,15.02,18.12,2.0,10
10,3.8008,123.64,469.95,1.2326,14.99,18.48,2.0,10
15,3.8008,123.64,469.95,1.2495,15.01,18.75,2.0,10
20,3.8008,123.64,469.95,1.2568,14.99,18.84,2.0,10
25,3.8008,123.64,469.95,1.2700,15.00,19.05,2.0,10
30,3.8008,123.64,469.95,1.2879,15.00,19.32,2.0,10
40,3.8008,123.64,469.95,0.7124,29.94,21.33,2.0,10
50,3.8008,123.64,469.95,0.7312,29.91,21.87,2.0,10
100,3.8008,123.64,469.95,0.7829,72.27,56.58,2.0,10
200,3.8008,123.64,469.95,0.6370,137.24,87.43,2.0,10
300,3.8008,123.64,469.95,0.7430,137.34,102.05,2.0,10
